session_id,n_train,n_test,in_both
220104|sys|dig|dig_01_single,14,7,True
220104|sys|dig|dig_02_single,15,7,True
220104|sys|dig|dig_03_single,14,7,True
220104|sys|dig|dig_04_single,18,4,True
220104|sys|dig|dig_05_single,17,5,True
220110|cxm|dig|dig_02_single,15,4,True
220110|tml|dig|dig_01_single,18,3,True
220110|tml|dig|dig_02_single,21,2,True
220110|tml|dig|dig_03_single,19,3,True
220110|tml|dig|dig_04_single,14,7,True
220110|tml|dig|dig_05_single,13,5,True
220110|yyn|dig|dig_01_single,14,5,True
220110|yyn|dig|dig_02_single,15,5,True
220110|yyn|dig|dig_03_single,16,3,True
220110|yyn|dig|dig_04_single,13,4,True
220110|yyn|dig|dig_05_single,15,2,True
220110|yyn|dig|dig_06_single,17,3,True
220111|cxm|knock|knock_01_single,3,1,True
220111|cxm|knock|knock_02_single,68,15,True
220111|cxm|knock|knock_03_single,58,18,True
220111|cxm|knock|knock_04_single,28,7,True
220111|cxm|knock|knock_05_single,26,8,True
220111|cxm|knock|knock_06_single,24,9,True
220111|cxm|knock|knock_07_single,19,8,True
220111|sys|knock|knock_01_single,32,6,True
220111|sys|knock|knock_02_single,28,9,True
220111|sys|knock|knock_03_single,13,3,True
220111|sys|knock|knock_04_single,24,3,True
220112|cxm|background|background_01_single,30,9,True
220112|cxm|background|background_02_single,27,15,True
220112|cxm|background|background_03_single,26,7,True
220112|cxm|background|background_04_single,28,6,True
220112|cxm|background|background_05_single,2,0,False
220112|cxm|background|background_06_single,48,13,True
220112|cxm|background|background_07_single,52,8,True
220112|cxm|background|background_08_single,38,13,True
220112|cxm|background|background_09_single,44,12,True
220112|cxm|background|background_10_single,32,7,True
220112|ssm|knock|knock_01_single,22,7,True
220112|ssm|knock|knock_02_single,13,1,True
220112|ssm|knock|knock_03_single,19,9,True
220112|ssm|knock|knock_04_single,17,6,True
220112|ssm|knock|knock_05_single,29,4,True
220112|yyn|knock|knock_01_single,20,1,True
220112|yyn|knock|knock_02_single,35,5,True
220112|yyn|knock|knock_03_single,26,7,True
